# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
0.001         	GAMG	1.000000e+00	8.723480e-03	4	true
0.002         	GAMG	2.428930e-01	1.764380e-03	12	true
0.003         	GAMG	1.345030e-01	8.398990e-04	6	true
0.004         	GAMG	1.355200e-01	1.116390e-03	8	true
0.005         	GAMG	1.593180e-01	1.582950e-03	6	true
0.006         	GAMG	1.837350e-01	1.768440e-03	7	true
0.007         	GAMG	2.083890e-01	2.030320e-03	7	true
0.008         	GAMG	2.274170e-01	1.844790e-03	9	true
0.009         	GAMG	2.511970e-01	1.852860e-03	9	true
0.01          	GAMG	2.719240e-01	1.845450e-03	9	true
0.011         	GAMG	2.922100e-01	2.907400e-03	8	true
0.012         	GAMG	2.962640e-01	2.920010e-03	8	true
0.013         	GAMG	3.104700e-01	2.946640e-03	8	true
0.014         	GAMG	3.221450e-01	2.965870e-03	8	true
0.015         	GAMG	3.326130e-01	2.980210e-03	8	true
0.016         	GAMG	3.423470e-01	2.988330e-03	8	true
0.017         	GAMG	3.515440e-01	2.985750e-03	8	true
0.018         	GAMG	3.610800e-01	2.970640e-03	8	true
0.019         	GAMG	3.701570e-01	2.943620e-03	8	true
0.02          	GAMG	3.782770e-01	2.906660e-03	8	true
0.021         	GAMG	3.864130e-01	3.841620e-03	7	true
0.022         	GAMG	3.926910e-01	3.782720e-03	7	true
0.023         	GAMG	4.007990e-01	2.783310e-03	6	true
0.024         	GAMG	4.108060e-01	2.754980e-03	6	true
0.025         	GAMG	4.182430e-01	2.729400e-03	6	true
0.026         	GAMG	4.257790e-01	4.230820e-03	5	true
0.027         	GAMG	4.290250e-01	4.182780e-03	5	true
0.028         	GAMG	4.369510e-01	4.142130e-03	5	true
0.029         	GAMG	4.471850e-01	4.116740e-03	5	true
0.03          	GAMG	4.528290e-01	4.081390e-03	5	true
0.031         	GAMG	4.599580e-01	4.031130e-03	5	true
0.032         	GAMG	4.668860e-01	3.981940e-03	5	true
0.033         	GAMG	4.736220e-01	3.933900e-03	5	true
0.034         	GAMG	4.802070e-01	3.886570e-03	5	true
0.035         	GAMG	4.865810e-01	3.839780e-03	5	true
0.036         	GAMG	4.928030e-01	3.793200e-03	5	true
0.037         	GAMG	4.988360e-01	4.878150e-03	4	true
0.038         	GAMG	5.003220e-01	4.816300e-03	4	true
0.039         	GAMG	5.067850e-01	4.761700e-03	4	true
0.04          	GAMG	5.129530e-01	4.706320e-03	4	true
0.041         	GAMG	5.187930e-01	4.650320e-03	4	true
0.042         	GAMG	5.244040e-01	4.594240e-03	4	true
0.043         	GAMG	5.299210e-01	4.538390e-03	4	true
0.044         	GAMG	5.352360e-01	4.482940e-03	4	true
0.045         	GAMG	5.404130e-01	4.427730e-03	4	true
0.046         	GAMG	5.454340e-01	4.373080e-03	4	true
0.047         	GAMG	5.503180e-01	4.319250e-03	4	true
0.048         	GAMG	5.551340e-01	4.266230e-03	4	true
0.049         	GAMG	5.598550e-01	4.214050e-03	4	true
0.05          	GAMG	5.644890e-01	4.162800e-03	4	true
0.051         	GAMG	5.690440e-01	4.112300e-03	4	true
0.052         	GAMG	5.734910e-01	4.062440e-03	4	true
0.053         	GAMG	5.778410e-01	4.013320e-03	4	true
0.054         	GAMG	5.820710e-01	3.965100e-03	4	true
0.055         	GAMG	5.862380e-01	3.917620e-03	4	true
0.056         	GAMG	5.903240e-01	3.870980e-03	4	true
0.057         	GAMG	5.943320e-01	3.825080e-03	4	true
0.058         	GAMG	5.982670e-01	3.779990e-03	4	true
0.059         	GAMG	6.021220e-01	3.735640e-03	4	true
0.06          	GAMG	6.058930e-01	3.692140e-03	4	true
0.061         	GAMG	6.096090e-01	3.649380e-03	4	true
0.062         	GAMG	6.132400e-01	3.607400e-03	4	true
0.063         	GAMG	6.168000e-01	3.566090e-03	4	true
0.064         	GAMG	6.202870e-01	3.525490e-03	4	true
0.065         	GAMG	6.237090e-01	3.485590e-03	4	true
0.066         	GAMG	6.270660e-01	3.446440e-03	4	true
0.067         	GAMG	6.303600e-01	3.407980e-03	4	true
0.068         	GAMG	6.335900e-01	3.370170e-03	4	true
0.069         	GAMG	6.367510e-01	3.333050e-03	4	true
0.07          	GAMG	6.398530e-01	3.296590e-03	4	true
0.071         	GAMG	6.429010e-01	3.260780e-03	4	true
0.072         	GAMG	6.458890e-01	3.225630e-03	4	true
0.073         	GAMG	6.488250e-01	3.191110e-03	4	true
0.074         	GAMG	6.517140e-01	3.157250e-03	4	true
0.075         	GAMG	6.545410e-01	3.123960e-03	4	true
0.076         	GAMG	6.573140e-01	3.091280e-03	4	true
0.077         	GAMG	6.600400e-01	3.059230e-03	4	true
0.078         	GAMG	6.627280e-01	3.027750e-03	4	true
0.079         	GAMG	6.653570e-01	2.996820e-03	4	true
0.08          	GAMG	6.679380e-01	2.966420e-03	4	true
0.081         	GAMG	6.704710e-01	2.936580e-03	4	true
0.082         	GAMG	6.729590e-01	2.907240e-03	4	true
0.083         	GAMG	6.753960e-01	2.878440e-03	4	true
0.084         	GAMG	6.777920e-01	2.850140e-03	4	true
0.085         	GAMG	6.801410e-01	2.822340e-03	4	true
0.086         	GAMG	6.824470e-01	2.795030e-03	4	true
0.087         	GAMG	6.847140e-01	2.768210e-03	4	true
0.088         	GAMG	6.869430e-01	2.741860e-03	4	true
0.089         	GAMG	6.891330e-01	2.715980e-03	4	true
0.09          	GAMG	6.912780e-01	2.690530e-03	4	true
0.091         	GAMG	6.933840e-01	2.665520e-03	4	true
0.092         	GAMG	6.954560e-01	2.640940e-03	4	true
0.093         	GAMG	6.974890e-01	6.925700e-03	3	true
0.094         	GAMG	6.976610e-01	6.887770e-03	3	true
0.095         	GAMG	6.997730e-01	6.827490e-03	3	true
0.096         	GAMG	7.018700e-01	6.767820e-03	3	true
0.097         	GAMG	7.038980e-01	6.708940e-03	3	true
0.098         	GAMG	7.058670e-01	6.650850e-03	3	true
0.099         	GAMG	7.077820e-01	6.593590e-03	3	true
0.1           	GAMG	7.096540e-01	6.537180e-03	3	true
0.101         	GAMG	7.114800e-01	6.481630e-03	3	true
0.102         	GAMG	7.132660e-01	6.426960e-03	3	true
0.103         	GAMG	7.150140e-01	6.373110e-03	3	true
0.104         	GAMG	7.167290e-01	6.320150e-03	3	true
0.105         	GAMG	7.184120e-01	7.137510e-03	1	true
0.106         	GAMG	6.695420e-01	6.462790e-03	3	true
0.107         	GAMG	7.277710e-01	7.080910e-03	1	true
0.108         	GAMG	6.779780e-01	6.399520e-03	3	true
0.109         	GAMG	7.349300e-01	7.002240e-03	1	true
0.11          	GAMG	6.847050e-01	6.323800e-03	3	true
0.111         	GAMG	7.404920e-01	6.913270e-03	1	true
0.112         	GAMG	6.902780e-01	6.242200e-03	3	true
0.113         	GAMG	7.450650e-01	6.819660e-03	1	true
0.114         	GAMG	6.951010e-01	6.919530e-03	1	true
0.115         	GAMG	6.961580e-01	6.910430e-03	1	true
0.116         	GAMG	7.001990e-01	6.884270e-03	1	true
0.117         	GAMG	7.039740e-01	6.852990e-03	1	true
0.118         	GAMG	7.074370e-01	6.818330e-03	1	true
0.119         	GAMG	7.105690e-01	6.781570e-03	1	true
0.12          	GAMG	7.134110e-01	6.743080e-03	1	true
0.121         	GAMG	7.160180e-01	6.703430e-03	1	true
0.122         	GAMG	7.184340e-01	6.662910e-03	1	true
0.123         	GAMG	7.206920e-01	6.621780e-03	1	true
0.124         	GAMG	7.228150e-01	6.580470e-03	1	true
0.125         	GAMG	7.248190e-01	6.538910e-03	1	true
0.126         	GAMG	7.267210e-01	6.497360e-03	1	true
0.127         	GAMG	7.285370e-01	6.455800e-03	1	true
0.128         	GAMG	7.302730e-01	6.414420e-03	1	true
0.129         	GAMG	7.319390e-01	6.373270e-03	1	true
0.13          	GAMG	7.335420e-01	6.332380e-03	1	true
0.131         	GAMG	7.350880e-01	6.291750e-03	1	true
0.132         	GAMG	7.365820e-01	6.251560e-03	1	true
0.133         	GAMG	7.380330e-01	6.211760e-03	1	true
0.134         	GAMG	7.394410e-01	6.172310e-03	1	true
0.135         	GAMG	7.408090e-01	6.133280e-03	1	true
0.136         	GAMG	7.421420e-01	6.094670e-03	1	true
0.137         	GAMG	7.434400e-01	6.056520e-03	1	true
0.138         	GAMG	7.447040e-01	6.018790e-03	1	true
0.139         	GAMG	7.459400e-01	5.981550e-03	1	true
0.14          	GAMG	7.471480e-01	5.944760e-03	1	true
0.141         	GAMG	7.483300e-01	5.908420e-03	1	true
0.142         	GAMG	7.494880e-01	5.872570e-03	1	true
0.143         	GAMG	7.506220e-01	5.837120e-03	1	true
0.144         	GAMG	7.517320e-01	5.802150e-03	1	true
0.145         	GAMG	7.528210e-01	5.767650e-03	1	true
0.146         	GAMG	7.538900e-01	5.733590e-03	1	true
0.147         	GAMG	7.549370e-01	5.699970e-03	1	true
0.148         	GAMG	7.559670e-01	5.666830e-03	1	true
0.149         	GAMG	7.569780e-01	5.634130e-03	1	true
0.15          	GAMG	7.579710e-01	5.601800e-03	1	true
0.151         	GAMG	7.589470e-01	5.569900e-03	1	true
0.152         	GAMG	7.599070e-01	5.538480e-03	1	true
0.153         	GAMG	7.608510e-01	5.507450e-03	1	true
0.154         	GAMG	7.617790e-01	5.476780e-03	1	true
0.155         	GAMG	7.626910e-01	5.446550e-03	1	true
0.156         	GAMG	7.635870e-01	5.416700e-03	1	true
0.157         	GAMG	7.644690e-01	5.387250e-03	1	true
0.158         	GAMG	7.653350e-01	5.358160e-03	1	true
0.159         	GAMG	7.661900e-01	5.329470e-03	1	true
0.16          	GAMG	7.670310e-01	5.301140e-03	1	true
0.161         	GAMG	7.678590e-01	5.273200e-03	1	true
0.162         	GAMG	7.686740e-01	5.245630e-03	1	true
0.163         	GAMG	7.694780e-01	5.218370e-03	1	true
0.164         	GAMG	7.702700e-01	5.191500e-03	1	true
0.165         	GAMG	7.710490e-01	5.164990e-03	1	true
0.166         	GAMG	7.718170e-01	5.138760e-03	1	true
0.167         	GAMG	7.725730e-01	5.112910e-03	1	true
0.168         	GAMG	7.733170e-01	5.087340e-03	1	true
0.169         	GAMG	7.740510e-01	5.062110e-03	1	true
0.17          	GAMG	7.747750e-01	5.037180e-03	1	true
0.171         	GAMG	7.754870e-01	5.012620e-03	1	true
0.172         	GAMG	7.761900e-01	4.988320e-03	1	true
0.173         	GAMG	7.768840e-01	4.964310e-03	1	true
0.174         	GAMG	7.775660e-01	4.940610e-03	1	true
0.175         	GAMG	7.782390e-01	4.917210e-03	1	true
0.176         	GAMG	7.789030e-01	4.894080e-03	1	true
0.177         	GAMG	7.795570e-01	4.871220e-03	1	true
0.178         	GAMG	7.802020e-01	4.848700e-03	1	true
0.179         	GAMG	7.808380e-01	4.826380e-03	1	true
0.18          	GAMG	7.814650e-01	4.804350e-03	1	true
0.181         	GAMG	7.820840e-01	4.782580e-03	1	true
0.182         	GAMG	7.826950e-01	4.761070e-03	1	true
0.183         	GAMG	7.832990e-01	4.739840e-03	1	true
0.184         	GAMG	7.838940e-01	4.718840e-03	1	true
0.185         	GAMG	7.844810e-01	4.698080e-03	1	true
0.186         	GAMG	7.850600e-01	4.677580e-03	1	true
0.187         	GAMG	7.856310e-01	4.657320e-03	1	true
0.188         	GAMG	7.861960e-01	4.637290e-03	1	true
0.189         	GAMG	7.867530e-01	4.617480e-03	1	true
0.19          	GAMG	7.873020e-01	4.597900e-03	1	true
0.191         	GAMG	7.878450e-01	4.578550e-03	1	true
0.192         	GAMG	7.883810e-01	4.559400e-03	1	true
0.193         	GAMG	7.889100e-01	4.540490e-03	1	true
0.194         	GAMG	7.894320e-01	4.521810e-03	1	true
0.195         	GAMG	7.899480e-01	4.503340e-03	1	true
0.196         	GAMG	7.904560e-01	4.485060e-03	1	true
0.197         	GAMG	7.909600e-01	4.466970e-03	1	true
0.198         	GAMG	7.914560e-01	4.449120e-03	1	true
0.199         	GAMG	7.919470e-01	4.431440e-03	1	true
0.2           	GAMG	7.924300e-01	4.413960e-03	1	true
0.201         	GAMG	7.929100e-01	4.396700e-03	1	true
0.202         	GAMG	7.933810e-01	4.379570e-03	1	true
0.203         	GAMG	7.938460e-01	4.362670e-03	1	true
0.204         	GAMG	7.943060e-01	4.345930e-03	1	true
0.205         	GAMG	7.947620e-01	4.329380e-03	1	true
0.206         	GAMG	7.952110e-01	4.313030e-03	1	true
0.207         	GAMG	7.956540e-01	4.296830e-03	1	true
0.208         	GAMG	7.960880e-01	4.280760e-03	1	true
0.209         	GAMG	7.965180e-01	4.264910e-03	1	true
0.21          	GAMG	7.969420e-01	4.249180e-03	1	true
0.211         	GAMG	7.973620e-01	4.233640e-03	1	true
0.212         	GAMG	7.977760e-01	4.218270e-03	1	true
0.213         	GAMG	7.981860e-01	4.203050e-03	1	true
0.214         	GAMG	7.985910e-01	4.187990e-03	1	true
0.215         	GAMG	7.989920e-01	4.173080e-03	1	true
0.216         	GAMG	7.993880e-01	4.158340e-03	1	true
0.217         	GAMG	7.997790e-01	4.143730e-03	1	true
0.218         	GAMG	8.001650e-01	4.129280e-03	1	true
0.219         	GAMG	8.005470e-01	4.114970e-03	1	true
0.22          	GAMG	8.009240e-01	4.100810e-03	1	true
0.221         	GAMG	8.012970e-01	4.086790e-03	1	true
0.222         	GAMG	8.016670e-01	4.072910e-03	1	true
0.223         	GAMG	8.020310e-01	4.059170e-03	1	true
0.224         	GAMG	8.023920e-01	4.045580e-03	1	true
0.225         	GAMG	8.027480e-01	4.032100e-03	1	true
0.226         	GAMG	8.031000e-01	4.018760e-03	1	true
0.227         	GAMG	8.034480e-01	4.005550e-03	1	true
0.228         	GAMG	8.037930e-01	3.992470e-03	1	true
0.229         	GAMG	8.041340e-01	3.979490e-03	1	true
0.23          	GAMG	8.044720e-01	3.966670e-03	1	true
0.231         	GAMG	8.048050e-01	3.953980e-03	1	true
0.232         	GAMG	8.051340e-01	3.941380e-03	1	true
0.233         	GAMG	8.054600e-01	3.928950e-03	1	true
0.234         	GAMG	8.057820e-01	3.916570e-03	1	true
0.235         	GAMG	8.060990e-01	3.904370e-03	1	true
0.236         	GAMG	8.064130e-01	3.892220e-03	1	true
0.237         	GAMG	8.067230e-01	3.880230e-03	1	true
0.238         	GAMG	8.070300e-01	3.868320e-03	1	true
0.239         	GAMG	8.073340e-01	3.856540e-03	1	true
0.24          	GAMG	8.076360e-01	3.844880e-03	1	true
0.241         	GAMG	8.079330e-01	3.833310e-03	1	true
0.242         	GAMG	8.082280e-01	3.821850e-03	1	true
0.243         	GAMG	8.085200e-01	3.810500e-03	1	true
0.244         	GAMG	8.088090e-01	3.799240e-03	1	true
0.245         	GAMG	8.090940e-01	3.788110e-03	1	true
0.246         	GAMG	8.093770e-01	3.777070e-03	1	true
0.247         	GAMG	8.096560e-01	3.766110e-03	1	true
0.248         	GAMG	8.099330e-01	3.755270e-03	1	true
0.249         	GAMG	8.102070e-01	3.744510e-03	1	true
0.25          	GAMG	8.104770e-01	3.733860e-03	1	true
0.251         	GAMG	8.107450e-01	3.723300e-03	1	true
0.252         	GAMG	8.110100e-01	3.712830e-03	1	true
0.253         	GAMG	8.112720e-01	3.702460e-03	1	true
0.254         	GAMG	8.115310e-01	3.692200e-03	1	true
0.255         	GAMG	8.117890e-01	3.681990e-03	1	true
0.256         	GAMG	8.120430e-01	3.671880e-03	1	true
0.257         	GAMG	8.122950e-01	3.661860e-03	1	true
0.258         	GAMG	8.125440e-01	3.651950e-03	1	true
0.259         	GAMG	8.127910e-01	3.642090e-03	1	true
0.26          	GAMG	8.130340e-01	3.632330e-03	1	true
0.261         	GAMG	8.132760e-01	3.622650e-03	1	true
0.262         	GAMG	8.135150e-01	3.613060e-03	1	true
0.263         	GAMG	8.137520e-01	3.603550e-03	1	true
0.264         	GAMG	8.139860e-01	3.594110e-03	1	true
0.265         	GAMG	8.142190e-01	3.584770e-03	1	true
0.266         	GAMG	8.144480e-01	3.575480e-03	1	true
0.267         	GAMG	8.146760e-01	3.566300e-03	1	true
0.268         	GAMG	8.149010e-01	3.557170e-03	1	true
0.269         	GAMG	8.151260e-01	3.548130e-03	1	true
0.27          	GAMG	8.153460e-01	3.539160e-03	1	true
0.271         	GAMG	8.155650e-01	3.530280e-03	1	true
0.272         	GAMG	8.157820e-01	3.521450e-03	1	true
0.273         	GAMG	8.159970e-01	3.512690e-03	1	true
0.274         	GAMG	8.162100e-01	3.504020e-03	1	true
0.275         	GAMG	8.164200e-01	3.495410e-03	1	true
0.276         	GAMG	8.166290e-01	3.486870e-03	1	true
0.277         	GAMG	8.168360e-01	3.478400e-03	1	true
0.278         	GAMG	8.170400e-01	3.470010e-03	1	true
0.279         	GAMG	8.172430e-01	3.461670e-03	1	true
0.28          	GAMG	8.174440e-01	3.453400e-03	1	true
0.281         	GAMG	8.176430e-01	3.445210e-03	1	true
0.282         	GAMG	8.178400e-01	3.437050e-03	1	true
0.283         	GAMG	8.180350e-01	3.428990e-03	1	true
0.284         	GAMG	8.182290e-01	3.420980e-03	1	true
0.285         	GAMG	8.184200e-01	3.413050e-03	1	true
0.286         	GAMG	8.186100e-01	3.405160e-03	1	true
0.287         	GAMG	8.187980e-01	3.397350e-03	1	true
0.288         	GAMG	8.189850e-01	3.389580e-03	1	true
0.289         	GAMG	8.191690e-01	3.381880e-03	1	true
0.29          	GAMG	8.193530e-01	3.374240e-03	1	true
0.291         	GAMG	8.195350e-01	3.366680e-03	1	true
0.292         	GAMG	8.197140e-01	3.359150e-03	1	true
0.293         	GAMG	8.198930e-01	3.351700e-03	1	true
0.294         	GAMG	8.200700e-01	3.344280e-03	1	true
0.295         	GAMG	8.202440e-01	3.336930e-03	1	true
0.296         	GAMG	8.204170e-01	3.329640e-03	1	true
0.297         	GAMG	8.205890e-01	3.322410e-03	1	true
0.298         	GAMG	8.207590e-01	3.315230e-03	1	true
0.299         	GAMG	8.209270e-01	3.308090e-03	1	true
0.3           	GAMG	8.210950e-01	3.301010e-03	1	true
0.301         	GAMG	8.212610e-01	3.293990e-03	1	true
0.302         	GAMG	8.214250e-01	3.287030e-03	1	true
0.303         	GAMG	8.215870e-01	3.280100e-03	1	true
0.304         	GAMG	8.217490e-01	3.273240e-03	1	true
0.305         	GAMG	8.219090e-01	3.266430e-03	1	true
0.306         	GAMG	8.220680e-01	3.259660e-03	1	true
0.307         	GAMG	8.222250e-01	3.252940e-03	1	true
0.308         	GAMG	8.223810e-01	3.246280e-03	1	true
0.309         	GAMG	8.225360e-01	3.239670e-03	1	true
0.31          	GAMG	8.226890e-01	3.233100e-03	1	true
0.311         	GAMG	8.228410e-01	3.226580e-03	1	true
0.312         	GAMG	8.229920e-01	3.220110e-03	1	true
0.313         	GAMG	8.231410e-01	3.213690e-03	1	true
0.314         	GAMG	8.232890e-01	3.207290e-03	1	true
0.315         	GAMG	8.234350e-01	3.200960e-03	1	true
